species,decimalLatitude,decimalLongitude,eventDate,year,basisOfRecord,coordinateUncertaintyInMeters
Xenoglaux loweryi,-5.673133,-77.76283,2024-10-02,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2024-10-12,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2024-10-12,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.731321,-77.96411,2024-10-07,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.730187,-77.96452,2024-10-19,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2024-10-24,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2024-10-24,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.729349,-77.961624,2024-10-13,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.730187,-77.96452,2024-10-19,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-7.09705,-76.626015,2024-11-16T19:40,2024,HUMAN_OBSERVATION,90654.0
Xenoglaux loweryi,-5.616521,-77.917374,2024-11-18T18:38:33,2024,HUMAN_OBSERVATION,31373.0
Xenoglaux loweryi,-5.750369,-77.93516,2024-11-02,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.683734,-77.85345,2024-11-21,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.734353,-77.94821,2024-11-09,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.696237,-77.86121,2024-11-16,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.695999,-77.81149,2024-11-18,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.70008,-77.98436,2024-11-03,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.750369,-77.93516,2024-11-02,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.731119,-77.95509,2024-11-07,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.695999,-77.81149,2024-11-17,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.696237,-77.86121,2024-11-16,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.696237,-77.86121,2024-11-14,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.696237,-77.86121,2024-11-16,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.695999,-77.81149,2024-11-18,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.725502,-77.93347,2024-11-15,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.725502,-77.93347,2024-11-15,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.696237,-77.86121,2024-11-16,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.729225,-77.96216,2024-11-05,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.730386,-77.96448,2024-11-15,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.695999,-77.81149,2024-11-18,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2024-11-16,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2024-11-10,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.696237,-77.86121,2024-11-14,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2024-11-10,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.696237,-77.86121,2024-11-14,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.696237,-77.86121,2024-11-14,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.696237,-77.86121,2024-11-16,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.70008,-77.98436,2024-11-03,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.696237,-77.86121,2024-11-16,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.750369,-77.93516,2024-11-02,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.730206,-77.96462,2024-11-07,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.695999,-77.81149,2024-11-18,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2024-11-29,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.695999,-77.81149,2024-11-18,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2024-11-10,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.683393,-77.853226,2024-11-23,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2024-11-10,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2024-11-04,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.683393,-77.853226,2024-11-23,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.695999,-77.81149,2024-11-18,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2024-11-10,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2024-11-16,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.695999,-77.81149,2024-11-17,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.696237,-77.86121,2024-11-14,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.725502,-77.93347,2024-11-15,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.696237,-77.86121,2024-11-16,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2024-11-04,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.696237,-77.86121,2024-11-14,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2024-11-10,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2024-11-29,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.700373,-77.94491,2024-11-15,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.695999,-77.81149,2024-12-12,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.700373,-77.94491,2024-12-11,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.700373,-77.94491,2024-12-11,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.695999,-77.81149,2024-12-12,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.695999,-77.81149,2024-12-03,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2024-12-09,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.700373,-77.94491,2024-12-11,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.680544,-77.85076,2024-12-11,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.695999,-77.81149,2024-12-03,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.700373,-77.94491,2024-12-11,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.695999,-77.81149,2024-12-12,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.680544,-77.85076,2024-12-11,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.680544,-77.85076,2024-12-11,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.673133,-77.76283,2024-12-09,2024,HUMAN_OBSERVATION,
Xenoglaux loweryi,-5.695999,-77.81149,2024-12-16,2024,HUMAN_OBSERVATION,
