species,decimalLatitude,decimalLongitude,eventDate,year,basisOfRecord,coordinateUncertaintyInMeters
Cinclodes palliatus,-12.169845,-75.63094,2024-07-08,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.571244,-76.26053,2024-07-02,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.491323,-76.269955,2024-07-15T10:07,2024,HUMAN_OBSERVATION,31137.0
Cinclodes palliatus,-11.603326,-76.20338,2024-08-17,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.577678,-76.26637,2024-08-15,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.571352,-76.26073,2024-08-15,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.577478,-76.35644,2024-08-24,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.577478,-76.35644,2024-08-24,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.603326,-76.20338,2024-08-17,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.570517,-76.35009,2024-08-06,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.603326,-76.20338,2024-08-17,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.577478,-76.35644,2024-08-24,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.570517,-76.35009,2024-08-06,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.580893,-76.26328,2024-08-12,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.601933,-76.19828,2024-08-06,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.580597,-76.314176,2024-09-09T10:42,2024,HUMAN_OBSERVATION,31137.0
Cinclodes palliatus,-11.561771,-76.363467,2024-09-30T14:06,2024,HUMAN_OBSERVATION,31137.0
Cinclodes palliatus,-10.549803,-76.86857,2024-09-23,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.577678,-76.26637,2024-09-05,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-10.550384,-76.87198,2024-09-16,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.577678,-76.26637,2024-09-15,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-10.549803,-76.86857,2024-09-23,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.577678,-76.26637,2024-09-05,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.569316,-76.26447,2024-09-30,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-10.549205,-76.87122,2024-09-16,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.560762,-76.27602,2024-09-03,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.560762,-76.27602,2024-09-15,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.560762,-76.27602,2024-09-15,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.572496,-76.26145,2024-09-09,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.577678,-76.26637,2024-09-09,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.560762,-76.27602,2024-09-03,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.603326,-76.20338,2024-09-19,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-10.549205,-76.87122,2024-09-16,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.580893,-76.26328,2024-09-30,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.560762,-76.27602,2024-09-03,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.560762,-76.27602,2024-09-15,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.571399,-76.26084,2024-09-09,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.560762,-76.27602,2024-09-03,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.577678,-76.26637,2024-09-05,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-10.549205,-76.87122,2024-09-16,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.572496,-76.26145,2024-09-09,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.603326,-76.20338,2024-09-08,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.577678,-76.26637,2024-09-04,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.560762,-76.27602,2024-09-30,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.603326,-76.20338,2024-09-10,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.603326,-76.20338,2024-09-08,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.577678,-76.26637,2024-09-04,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.560762,-76.27602,2024-09-15,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.600029,-76.393005,2024-09-23,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.570517,-76.35009,2024-10-27,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.560762,-76.27602,2024-10-09,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.571403,-76.25902,2024-10-22,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.577678,-76.26637,2024-10-26,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.570517,-76.35009,2024-10-20,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.570073,-76.15659,2024-10-03,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.584846,-76.25805,2024-10-23,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.571403,-76.25902,2024-10-22,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.577678,-76.26637,2024-10-28,2024,HUMAN_OBSERVATION,
Cinclodes palliatus,-11.571403,-76.25902,2024-10-23,2024,HUMAN_OBSERVATION,
