decimalLatitude,decimalLongitude,bio_2,bio_3,bio_4,bio_13,bio_15,presencia,estrategia_pseudo
-2.6217396692164368,-78.56807491260946,9.989916801452637,85.86090087890625,38.340274810791016,160.0,29.147624969482422,0,aleatoria
-5.380273231476638,-75.5233933776274,10.060583114624023,85.23749542236328,31.45503807067871,263.0,25.669282913208008,0,aleatoria
-13.03537134773822,-72.35251056499283,13.406416893005371,75.3804702758789,95.32106018066406,160.0,74.55931091308594,0,aleatoria
-12.065305462466103,-75.84260202177892,13.36775016784668,79.2679672241211,83.02803802490234,148.0,81.74669647216797,0,aleatoria
-13.642072475583705,-74.29321137340635,13.92508316040039,77.07894897460938,88.98120880126953,177.0,96.77330780029297,0,aleatoria
-12.232722468838634,-71.64693802765441,10.591083526611328,79.60826873779297,75.39027404785156,367.0,46.49493408203125,0,aleatoria
-2.600106637193264,-71.27215693712729,8.442167282104492,82.79882049560547,44.013999938964844,339.0,19.800586700439453,0,aleatoria
-8.884540046249386,-76.47258936342783,11.839750289916992,86.70633697509766,34.217647552490234,153.0,43.02032470703125,0,aleatoria
-14.79803742698846,-74.48870891694081,14.587666511535645,76.8499984741211,135.11276245117188,162.0,117.73941040039062,0,aleatoria
-10.300107568303078,-72.82761738361106,10.809000015258789,80.93597412109375,59.511959075927734,224.0,52.84739303588867,0,aleatoria
-6.619820398293921,-77.26504949062301,11.206250190734863,84.90225982666016,40.97048568725586,141.0,36.53715515136719,0,buffer
-6.353566393948094,-76.96159968602703,10.963916778564453,84.76818084716797,39.01703643798828,157.0,26.777027130126953,0,buffer
-6.598791499687859,-76.80594649818701,11.371583938598633,86.3249282836914,40.284202575683594,161.0,23.2924747467041,0,buffer
-6.32076140799184,-76.75062756129824,11.363499641418457,85.95038604736328,38.54206085205078,162.0,24.695207595825195,0,buffer
-5.249748346205445,-77.56506163606332,10.534000396728516,87.56441497802734,31.963058471679688,177.0,13.25430965423584,0,buffer
-5.925753169073751,-78.45865427167548,10.581167221069336,84.13108825683594,41.855804443359375,120.0,26.299116134643555,0,buffer
-5.523688313168526,-78.2628508698676,9.949999809265137,81.90648651123047,39.55744171142578,144.0,19.266307830810547,0,buffer
-7.410977005309691,-76.37083841236925,11.522500038146973,88.26119232177734,37.32572555541992,210.0,26.312101364135742,0,buffer
-5.929000699902812,-76.45547992785005,10.52750015258789,87.34339141845703,32.75310134887695,253.0,28.37775993347168,0,buffer
-5.106894860213584,-77.38947199249185,10.369333267211914,89.14488220214844,32.34540557861328,209.0,14.863456726074219,0,buffer
-5.4442114064848575,-78.61372882855177,11.195416450500488,85.58531951904297,62.38502883911133,142.0,27.304962158203125,0,buffer
-6.719573794585703,-77.26257578274539,11.287416458129883,85.97315979003906,40.93621826171875,138.0,33.71696853637695,0,buffer
-5.432104251561778,-77.94884691418558,10.360333442687988,84.5948715209961,37.569358825683594,127.0,16.461097717285156,0,buffer
-5.173061667843895,-78.01166861955892,10.659832954406738,87.61986541748047,38.615997314453125,191.0,18.224401473999023,0,buffer
-6.864529325904579,-76.89544276511901,11.382416725158691,86.91521453857422,40.10572052001953,167.0,26.20588493347168,0,buffer
-5.978491794928965,-77.82978494569406,10.858583450317383,81.86507415771484,43.05625534057617,155.0,26.973196029663086,0,buffer
-7.1155403946546,-77.03453052937326,11.124667167663574,87.75473022460938,41.6566162109375,179.0,30.691967010498047,0,buffer
-7.119355547563036,-76.28933200418403,11.67058277130127,87.7883529663086,41.013946533203125,174.0,27.347990036010742,0,buffer
-6.738372203457111,-77.38641341322167,11.245333671569824,84.95378875732422,40.28022766113281,139.0,40.14364242553711,0,buffer
-7.388480341682575,-76.50203457939236,11.427000045776367,88.25301361083984,38.104164123535156,211.0,27.470888137817383,0,buffer
-6.279075096146009,-76.28738705664396,11.096416473388672,88.05979919433594,36.414127349853516,292.0,28.089527130126953,0,buffer
