decimalLatitude,decimalLongitude,bio_4,bio_5,bio_7,bio_9,bio_18,elevation,presencia,estrategia_pseudo
-11.447684152718049,-75.71795578628505,81.7263,16.813,17.858,7.8434997,226.0,3767,0,buffer
-10.85211908971956,-75.79041963410775,68.71578,14.411,16.964,6.0586667,403.0,4074,0,buffer
-11.114415486729325,-76.37785508289446,99.61732,11.136,17.619999,2.2784998,450.0,4499,0,buffer
-10.762098906727305,-75.69968820727053,69.22725,18.545,16.596,10.322166,238.0,3243,0,buffer
-10.602149127312424,-75.8632129647282,67.729935,15.877,16.834,7.5586667,356.0,3770,0,buffer
-11.372352376435757,-76.31434476394404,117.97298,11.271,17.835,2.0611668,485.0,4486,0,buffer
-10.529278877634354,-75.97250073817243,58.968708,12.127,16.556,3.9306664,479.0,4496,0,buffer
-11.176074368552364,-76.06253938664743,95.86229,13.147,17.960001,4.1418333,442.0,4300,0,buffer
-11.184367083206109,-75.52328842201455,76.05175,18.52,16.225,10.341001,248.0,3180,0,buffer
-11.26020144498408,-76.42078959961789,108.4951,9.894,17.167,1.0598333,467.0,4679,0,buffer
-11.1239082204029,-76.4028426331451,99.61732,11.136,17.619999,2.2784998,450.0,4499,0,buffer
-10.712308315204568,-76.4643333926754,86.67853,11.929,17.722,3.0958333,418.0,4423,0,buffer
-11.080265891406254,-76.61032310840352,97.53818,9.394,16.970001,0.868,432.0,4735,0,buffer
-11.296029465997217,-75.83770244507886,82.01774,14.122,17.846,5.2078333,390.0,4238,0,buffer
-11.346876606290328,-76.48207367399627,117.568085,10.699,17.614,1.5945,464.0,4522,0,buffer
-11.25219238596054,-76.40684143560144,107.0724,10.53,17.555,1.6088334,481.0,4596,0,buffer
-10.853753616511684,-76.14039288991125,93.31813,14.067,18.11,4.8855,451.0,4129,0,buffer
-10.811477652635704,-76.48020184540933,89.54822,11.698,17.338,2.9361665,416.0,4421,0,buffer
-10.69483971612011,-76.44233864492733,86.67853,11.929,17.722,3.0958333,418.0,4423,0,buffer
-11.271151975697537,-75.71234443454964,85.88745,16.937,17.816,7.851333,229.0,3720,0,buffer
-11.386620105050916,-75.68881795153607,92.65765,17.831,18.178,8.513166,232.0,3531,0,buffer
-10.719032793867113,-76.2060384088519,71.30024,13.258,17.976,4.284667,435.0,4334,0,buffer
-11.5347969744934,-76.22637158923368,103.05722,9.882,17.046,1.2446668,487.0,4780,0,buffer
-10.714477820609869,-76.6148932650191,88.37575,9.901,16.584,1.5774999,425.0,4635,0,buffer
-10.908188952356248,-76.43906881400802,90.98266,11.275,17.305,2.6106665,422.0,4465,0,buffer
-11.321709258885322,-76.04255026571812,95.77549,12.488,17.68,3.6253333,449.0,4398,0,buffer
-10.705717575708013,-76.42957661154506,86.67853,11.929,17.722,3.0958333,418.0,4423,0,buffer
-11.446202558508933,-76.29181417601683,114.196465,10.528,17.385,1.6085,495.0,4590,0,buffer
-11.465028585430543,-76.26603287313377,114.196465,10.528,17.385,1.6085,495.0,4590,0,buffer
-11.189776404925787,-75.63130291217644,78.60765,16.993,16.82,8.560333,231.0,3546,0,buffer
-11.06005300265054,-76.26330408144293,94.29832,12.519,17.993,3.512,438.0,4328,0,buffer
-11.019582697858416,-76.0585305182291,99.877594,13.4800005,15.966001,4.9981666,421.0,4085,0,buffer
