decimalLatitude,decimalLongitude,bio_2,bio_3,bio_4,bio_5,bio_15,bio_18,presencia,estrategia_pseudo
-10.607533989070532,-75.40380911449678,12.689666748046875,80.27369689941406,64.78307342529297,24.700000762939453,55.88199234008789,361.0,0,buffer
-7.8814154932853775,-75.52802804178809,11.155500411987305,89.41566467285156,23.850793838500977,32.887001037597656,31.966176986694336,732.0,0,buffer
-9.399392610483153,-75.8066120244139,11.954500198364258,86.57662963867188,36.786991119384766,29.820999145507812,45.255672454833984,503.0,0,buffer
-9.08443911151289,-75.57565443097839,11.59375,89.52012634277344,20.073537826538086,32.55699920654297,41.30509567260742,1300.0,0,buffer
-8.841564811439346,-76.91128188845586,12.954333305358887,81.7875747680664,60.22379684448242,15.38599967956543,57.63043975830078,345.0,0,buffer
-10.704728141531138,-74.64383700682525,12.00041675567627,82.19464111328125,58.36745071411133,28.121999740600586,43.11524963378906,453.0,0,buffer
-11.018855293812912,-73.84167700878385,11.762499809265137,82.85201263427734,58.64838409423828,29.20199966430664,48.34486389160156,547.0,0,buffer
-9.485194504972164,-74.62764698564052,12.15958309173584,82.75765991210938,52.677860260009766,28.67300033569336,42.820987701416016,459.0,0,buffer
-10.280917964466529,-76.71304389316606,13.774833679199219,80.89994049072266,89.49922943115234,12.65999984741211,61.90225601196289,405.0,0,buffer
-11.26233355490092,-75.88276000358593,14.06974983215332,78.83979797363281,82.01773834228516,14.121999740600586,61.91511154174805,390.0,0,buffer
-11.274384343570947,-77.04741534522496,10.995916366577148,72.10437774658203,162.66014099121094,23.410999298095703,135.8493194580078,118.0,0,buffer
-11.673924105900166,-75.57606087043125,13.69474983215332,76.8676986694336,85.81608581542969,17.714000701904297,75.30400848388672,235.0,0,buffer
-10.92390674508484,-73.78897236830684,10.932416915893555,83.6515121459961,55.7425422668457,31.0,51.851016998291016,508.0,0,buffer
-9.49172317822644,-78.29762231717201,9.759750366210938,63.98577880859375,201.50633239746094,29.399999618530273,67.69866180419922,22.0,0,buffer
-10.902101957543344,-74.1059837451067,11.854333877563477,82.94963836669922,58.18832015991211,29.499000549316406,51.9769172668457,414.0,0,buffer
-10.2858687445568,-75.87666200994586,13.097583770751953,80.63027954101562,59.984561920166016,20.22100067138672,61.64218521118164,273.0,0,buffer
-14.288466288385859,-76.1796383484179,6.243452548980713,48.58718490600586,256.6007385253906,25.69999885559082,0.0,0.0,0,ambiental
-13.153144267710324,-76.4258287418787,6.198333740234375,47.752960205078125,267.951171875,26.579999923706055,107.89192199707031,2.0,0,ambiental
-11.396876770507278,-77.56647788057631,6.930172443389893,48.149261474609375,291.5489807128906,26.299999237060547,77.39470672607422,2.0,0,ambiental
-6.970259095413224,-80.66736795527179,6.708333492279053,48.26138687133789,275.8326110839844,28.066667556762695,176.19400024414062,20.0,0,ambiental
-12.053286023295634,-77.0184846248344,7.210166931152344,52.04018020629883,253.956298828125,26.881999969482422,42.22471237182617,5.0,0,ambiental
-12.795798841593843,-76.5889999794547,7.160937786102295,51.24105453491211,265.7345275878906,27.293750762939453,99.09325408935547,2.0,0,ambiental
-12.795349846085843,-76.62003959734754,7.160937786102295,51.24105453491211,265.7345275878906,27.293750762939453,99.09325408935547,2.0,0,ambiental
-12.068633545402431,-76.92826788296645,7.742833137512207,54.23291778564453,253.25440979003906,26.739999771118164,59.967254638671875,4.0,0,ambiental
-14.042151131494482,-76.19152848436207,8.888666152954102,55.900047302246094,268.5861511230469,28.01799964904785,0.0,0.0,0,ambiental
-17.591201454531173,-71.31173179101712,7.508417129516602,55.29432678222656,222.30758666992188,26.360000610351562,33.36423873901367,0.0,0,ambiental
-10.497992938691269,-78.02931944353745,7.816666126251221,56.23501205444336,226.90440368652344,27.299999237060547,30.151134490966797,4.0,0,ambiental
-10.888341876746647,-77.65613421070957,8.793832778930664,56.33822250366211,257.1734924316406,27.54199981689453,35.81556701660156,14.0,0,ambiental
-12.654963646403903,-76.63323999971317,8.264667510986328,55.33386993408203,259.2319030761719,27.634000778198242,85.45630645751953,5.0,0,ambiental
-16.641867108501618,-72.77211354964541,7.277272701263428,57.1105842590332,201.6936492919922,26.89090919494629,37.39788055419922,5.0,0,ambiental
-10.589116039042603,-77.87474197314644,8.485294342041016,56.98577880859375,239.23876953125,27.74313735961914,29.193710327148438,6.0,0,ambiental
-17.856765752488617,-70.46839466801207,9.549999237060547,57.31604766845703,259.70745849609375,27.39699935913086,45.537113189697266,2.0,0,ambiental
-9.23274453530914,-78.64966588408569,7.597619533538818,58.123863220214844,197.7561492919922,26.85714340209961,53.181602478027344,5.0,0,ambiental
-11.398800674627925,-77.23893661290995,9.357666969299316,58.1185417175293,256.1808166503906,26.113000869750977,45.48868942260742,32.0,0,ambiental
-10.554859382194346,-77.90152966614859,8.893458366394043,58.6257209777832,236.49618530273438,27.866666793823242,37.605072021484375,9.0,0,ambiental
-9.798927854024248,-78.29794446401172,8.064583778381348,59.189605712890625,206.2127685546875,27.75,51.02499771118164,14.0,0,ambiental
